Locality,Municipality,Property_Type,BHK,Carpet_Area_SqFt,Floor_No,Parking_Spaces,Age_Years,Price_Cr,Price_per_SqFt
Malabar Hill,BMC,Standard,1,368,23,1,28,2.74,74456.52173913045
Kharghar,NMMC,Standard,3,1380,8,1,9,1.78,12898.550724637682
Mira Road,MBMC,Standard,1,354,3,1,0,0.42,11864.406779661016
Andheri West,BMC,Standard,2,910,34,1,10,3.31,36373.62637362637
Kalyan,KDMC,Standard,2,830,13,1,8,0.73,8795.180722891566
Andheri West,BMC,Standard,3,1221,12,1,16,3.38,27682.227682227684
Kalyan,KDMC,Luxury,3,1857,35,2,18,1.7,9154.550350026926
Kharghar,NMMC,Standard,2,962,4,1,19,1.04,10810.81081081081
Mira Road,MBMC,Luxury,5,3765,57,2,20,5.22,13864.541832669323
Vashi,NMMC,Standard,1,387,4,1,27,0.55,14211.88630490956
Kalyan,KDMC,Standard,2,840,4,1,28,0.5,5952.380952380952
Bandra West,BMC,Standard,2,808,4,1,23,4.09,50618.81188118812
Thane West,TMC,Standard,3,1227,19,1,16,2.03,16544.417277913606
Bandra West,BMC,Standard,1,379,38,1,20,2.68,70712.40105540898
Andheri West,BMC,Standard,2,886,33,1,17,2.89,32618.510158013545
Andheri West,BMC,Standard,3,1188,11,1,24,2.87,24158.249158249157
Vashi,NMMC,Standard,2,706,20,1,15,1.4,19830.028328611897
Vashi,NMMC,Luxury,5,4790,45,2,15,11.55,24112.734864300626
Borivali West,BMC,Standard,1,399,3,1,12,0.75,18796.992481203008
Malabar Hill,BMC,Standard,2,860,19,1,9,8.31,96627.90697674418
Bandra West,BMC,Standard,3,1326,37,1,19,9.46,71342.383107089
Malabar Hill,BMC,Standard,3,1347,6,1,25,9.05,67186.34001484781
Andheri West,BMC,Standard,3,1434,24,1,24,3.89,27126.91771269177
Andheri West,BMC,Standard,1,409,31,1,19,1.27,31051.344743276284
Thane West,TMC,Standard,1,457,30,1,21,0.77,16849.015317286652
Kharghar,NMMC,Standard,3,1407,10,1,15,1.7,12082.444918265814
Vashi,NMMC,Standard,3,1257,9,1,12,2.35,18695.30628480509
Andheri West,BMC,Standard,1,456,21,1,3,1.63,35745.61403508772
Worli,BMC,Standard,1,476,15,1,17,2.71,56932.773109243695
Thane West,TMC,Standard,1,498,26,1,11,0.94,18875.50200803213
Thane West,TMC,Standard,2,814,21,1,17,1.35,16584.766584766585
Borivali West,BMC,Standard,1,398,19,1,18,0.78,19597.989949748742
Kalyan,KDMC,Luxury,3,2280,23,3,9,2.16,9473.684210526315
Kalyan,KDMC,Luxury,5,4440,43,2,28,3.66,8243.243243243243
Worli,BMC,Standard,2,870,17,1,1,6.26,71954.02298850575
Vashi,NMMC,Standard,3,1269,21,1,4,2.94,23167.848699763592
Worli,BMC,Standard,1,423,34,1,15,2.91,68794.32624113475
Bandra West,BMC,Standard,2,874,38,1,27,5.5,62929.06178489703
Mira Road,MBMC,Luxury,5,4590,51,2,6,7.46,16252.72331154684
Borivali West,BMC,Standard,1,459,22,1,14,0.98,21350.762527233117
Thane West,TMC,Standard,2,930,28,1,13,1.74,18709.677419354837
Kalyan,KDMC,Standard,2,924,2,1,24,0.59,6385.281385281385
Thane West,TMC,Standard,3,1338,35,1,5,2.94,21973.094170403587
Kharghar,NMMC,Standard,3,1488,5,1,18,1.63,10954.301075268815
Thane West,TMC,Standard,1,390,36,1,4,0.88,22564.102564102563
Borivali West,BMC,Standard,2,984,18,1,9,2.18,22154.47154471545
Andheri West,BMC,Standard,1,429,3,1,12,1.18,27505.827505827507
Bandra West,BMC,Luxury,5,3195,52,3,27,27.78,86948.35680751174
Malabar Hill,BMC,Standard,1,473,37,1,3,5.72,120930.23255813954
Vashi,NMMC,Luxury,5,3155,31,2,10,7.35,23296.35499207607
Kharghar,NMMC,Luxury,5,3540,40,2,29,4.36,12316.384180790961
Worli,BMC,Standard,3,1224,27,1,4,9.24,75490.19607843137
Kalyan,KDMC,Standard,1,497,34,1,25,0.4,8048.289738430583
Borivali West,BMC,Luxury,3,2592,57,3,17,8.62,33256.172839506165
Vashi,NMMC,Standard,1,488,2,1,14,0.85,17418.032786885247
Kalyan,KDMC,Standard,2,960,12,1,27,0.62,6458.333333333333
Mira Road,MBMC,Standard,1,383,18,1,25,0.36,9399.47780678851
Kalyan,KDMC,Standard,2,732,5,1,11,0.57,7786.885245901638
Bandra West,BMC,Standard,2,830,35,1,7,6.92,83373.49397590362
Thane West,TMC,Standard,1,497,1,1,7,0.82,16498.993963782694
Kharghar,NMMC,Standard,2,706,25,1,14,0.99,14022.662889518413
Vashi,NMMC,Standard,1,406,14,1,3,0.9,22167.487684729065
Malabar Hill,BMC,Standard,2,852,15,1,17,7.09,83215.96244131455
Bandra West,BMC,Luxury,5,4090,46,2,1,49.85,121882.64058679706
Thane West,TMC,Standard,1,421,35,1,18,0.77,18289.786223277908
Andheri West,BMC,Standard,2,726,26,1,5,2.64,36363.63636363636
Kharghar,NMMC,Standard,2,918,3,1,9,1.15,12527.233115468409
Bandra West,BMC,Luxury,3,2778,28,3,26,20.57,74046.07631389488
Kharghar,NMMC,Standard,2,982,38,1,20,1.39,14154.78615071283
Andheri West,BMC,Standard,1,413,33,1,23,1.22,29539.951573849878
Andheri West,BMC,Standard,2,854,30,1,8,3.09,36182.66978922717
Andheri West,BMC,Standard,3,1053,22,1,8,3.56,33808.167141500475
Thane West,TMC,Standard,1,411,30,1,11,0.8,19464.7201946472
Bandra West,BMC,Standard,2,996,5,1,15,5.72,57429.71887550201
Andheri West,BMC,Standard,2,972,4,1,2,3.04,31275.720164609054
Malabar Hill,BMC,Standard,3,1071,23,1,14,9.99,93277.31092436975
Thane West,TMC,Standard,2,792,15,1,8,1.42,17929.29292929293
Bandra West,BMC,Luxury,3,2493,57,2,19,25.6,102687.52507019656
Kalyan,KDMC,Standard,1,441,28,1,3,0.47,10657.596371882086
Vashi,NMMC,Standard,3,1320,1,1,7,2.54,19242.424242424244
Kharghar,NMMC,Standard,3,1482,12,1,5,2.09,14102.564102564103
Mira Road,MBMC,Luxury,5,4895,20,3,24,4.81,9826.353421859038
Malabar Hill,BMC,Standard,2,866,13,1,28,5.9,68129.33025404158
Vashi,NMMC,Luxury,3,2367,39,3,27,4.5,19011.406844106463
Malabar Hill,BMC,Standard,3,1233,9,1,23,8.82,71532.84671532847
Borivali West,BMC,Standard,3,1110,39,1,22,2.41,21711.711711711712
Kalyan,KDMC,Standard,2,992,11,1,12,0.81,8165.322580645162
Malabar Hill,BMC,Standard,2,842,8,1,28,5.47,64964.37054631829
Borivali West,BMC,Standard,2,788,26,1,6,1.95,24746.192893401014
Mira Road,MBMC,Standard,3,1308,30,1,12,1.68,12844.036697247706
Kharghar,NMMC,Standard,3,1485,2,1,3,2.0,13468.013468013469
Malabar Hill,BMC,Standard,1,496,28,1,7,5.31,107056.45161290321
Andheri West,BMC,Luxury,4,3368,58,2,1,20.36,60451.30641330166
Kalyan,KDMC,Standard,3,1077,14,1,17,0.84,7799.442896935933
Bandra West,BMC,Luxury,3,1914,22,3,19,15.13,79049.1118077325
Vashi,NMMC,Standard,3,1440,16,1,29,2.19,15208.333333333334
Thane West,TMC,Luxury,3,2601,20,2,22,3.96,15224.913494809689
Mira Road,MBMC,Luxury,4,2592,50,2,24,3.21,12384.25925925926
Kharghar,NMMC,Luxury,4,3532,37,2,3,6.29,17808.607021517553
Bandra West,BMC,Standard,2,942,30,1,27,5.57,59129.511677282375
Worli,BMC,Standard,2,856,23,1,7,6.01,70210.28037383177
Mira Road,MBMC,Standard,1,473,33,1,23,0.53,11205.07399577167
Kharghar,NMMC,Standard,1,356,4,1,4,0.47,13202.247191011236
Thane West,TMC,Standard,3,1104,29,1,9,2.2,19927.536231884056
Worli,BMC,Standard,1,475,11,1,16,2.64,55578.94736842105
Malabar Hill,BMC,Standard,2,930,12,1,5,8.89,95591.39784946236
Malabar Hill,BMC,Standard,1,418,30,1,23,3.59,85885.16746411483
Thane West,TMC,Standard,3,1059,26,1,26,1.59,15014.164305949009
Vashi,NMMC,Luxury,5,4165,25,2,26,7.22,17334.933973589435
Borivali West,BMC,Standard,3,1422,37,1,9,3.68,25879.04360056259
Borivali West,BMC,Standard,2,734,9,1,16,1.36,18528.610354223434
Andheri West,BMC,Standard,3,1113,4,1,4,3.39,30458.22102425876
Borivali West,BMC,Standard,2,916,22,1,20,1.79,19541.484716157207
Kharghar,NMMC,Standard,1,458,21,1,13,0.63,13755.458515283843
Borivali West,BMC,Luxury,5,4615,20,2,27,9.87,21386.782231852652
Thane West,TMC,Luxury,3,2130,30,3,3,4.62,21690.140845070422
Bandra West,BMC,Standard,2,862,22,1,24,5.03,58352.66821345708
Thane West,TMC,Standard,1,434,8,1,27,0.54,12442.396313364055
Borivali West,BMC,Standard,2,992,27,1,20,2.02,20362.90322580645
Worli,BMC,Standard,2,978,21,1,21,5.52,56441.717791411036
Kharghar,NMMC,Standard,2,738,12,1,5,1.04,14092.140921409215
Malabar Hill,BMC,Luxury,4,3612,51,3,5,58.87,162984.49612403102
Kharghar,NMMC,Standard,1,492,27,1,10,0.74,15040.650406504064
Kalyan,KDMC,Standard,2,862,28,1,18,0.75,8700.696055684455
Andheri West,BMC,Luxury,5,3235,28,2,7,14.58,45069.55177743431
Andheri West,BMC,Standard,2,890,8,1,18,2.3,25842.696629213482
Vashi,NMMC,Standard,1,380,16,1,17,0.71,18684.21052631579
Vashi,NMMC,Standard,2,806,10,1,9,1.59,19727.047146401987
Borivali West,BMC,Standard,3,1152,30,1,24,2.26,19618.05555555555
Bandra West,BMC,Luxury,4,2848,26,3,29,19.66,69030.89887640449
Kharghar,NMMC,Standard,1,386,1,1,14,0.45,11658.031088082902
Borivali West,BMC,Standard,3,1431,9,1,0,3.27,22851.153039832287
Andheri West,BMC,Standard,1,372,9,1,1,1.22,32795.69892473118
Andheri West,BMC,Standard,1,448,8,1,2,1.44,32142.85714285714
Worli,BMC,Standard,1,451,16,1,1,3.21,71175.16629711751
Thane West,TMC,Standard,3,1419,16,1,5,2.67,18816.067653276954
Worli,BMC,Standard,2,920,31,1,27,5.09,55326.086956521736
Worli,BMC,Standard,3,1407,27,1,21,8.35,59346.126510305614
Kharghar,NMMC,Standard,1,362,21,1,18,0.46,12707.182320441989
Borivali West,BMC,Standard,2,760,17,1,22,1.38,18157.894736842103
Kharghar,NMMC,Luxury,4,2436,27,3,21,3.11,12766.830870279146
Andheri West,BMC,Standard,2,918,24,1,14,2.91,31699.34640522876
Vashi,NMMC,Standard,1,408,23,1,7,0.93,22794.117647058825
Worli,BMC,Standard,1,383,18,1,23,2.04,53263.70757180157
Worli,BMC,Standard,1,398,15,1,24,2.03,51005.02512562813
Malabar Hill,BMC,Standard,1,445,22,1,5,4.65,104494.38202247191
Malabar Hill,BMC,Standard,3,1449,5,1,11,11.95,82470.66942719117
Kalyan,KDMC,Standard,3,1410,1,1,10,1.12,7943.262411347519
Bandra West,BMC,Standard,3,1347,18,1,14,8.86,65775.79806978471
Bandra West,BMC,Standard,3,1383,12,1,18,8.12,58712.94287780187
Borivali West,BMC,Standard,1,409,27,1,24,0.78,19070.904645476774
Thane West,TMC,Standard,1,498,13,1,4,0.92,18473.895582329318
Malabar Hill,BMC,Standard,1,374,30,1,8,4.01,107219.2513368984
Borivali West,BMC,Standard,2,772,17,1,4,1.81,23445.59585492228
Vashi,NMMC,Luxury,3,2862,37,2,13,6.7,23410.202655485675
Bandra West,BMC,Standard,1,362,18,1,4,2.73,75414.36464088398
Andheri West,BMC,Luxury,3,2784,30,3,21,10.41,37392.24137931035
Thane West,TMC,Standard,2,872,34,1,8,1.83,20986.238532110092
Thane West,TMC,Luxury,4,2408,25,3,11,4.51,18729.23588039867
Borivali West,BMC,Standard,2,828,36,1,20,1.81,21859.90338164251
Bandra West,BMC,Standard,3,1209,10,1,20,6.75,55831.26550868486
Borivali West,BMC,Standard,1,451,24,1,1,1.17,25942.350332594237
Vashi,NMMC,Standard,3,1440,38,1,16,3.25,22569.444444444445
Vashi,NMMC,Standard,2,942,26,1,5,2.25,23885.350318471337
Malabar Hill,BMC,Standard,2,906,28,1,25,7.41,81788.07947019867
Vashi,NMMC,Standard,2,966,7,1,20,1.57,16252.587991718427
Kalyan,KDMC,Standard,2,812,12,1,15,0.64,7881.773399014778
Borivali West,BMC,Standard,3,1380,9,1,10,2.78,20144.92753623188
Thane West,TMC,Standard,2,788,22,1,26,1.14,14467.00507614213
Andheri West,BMC,Luxury,3,2268,53,3,27,9.08,40035.2733686067
Kharghar,NMMC,Standard,2,906,9,1,22,0.97,10706.401766004416
Borivali West,BMC,Standard,2,848,15,1,27,1.39,16391.509433962263
Vashi,NMMC,Standard,1,455,26,1,24,0.82,18021.97802197802
Mira Road,MBMC,Standard,1,453,4,1,14,0.45,9933.774834437087
Malabar Hill,BMC,Standard,3,1218,31,1,8,13.18,108210.18062397373
Worli,BMC,Standard,3,1299,11,1,23,6.48,49884.52655889146
Vashi,NMMC,Standard,1,364,32,1,28,0.64,17582.417582417584
Mira Road,MBMC,Standard,1,387,22,1,29,0.35,9043.92764857881
Worli,BMC,Standard,1,352,30,1,5,2.69,76420.45454545454
Thane West,TMC,Standard,1,424,13,1,17,0.66,15566.037735849057
Vashi,NMMC,Standard,2,794,26,1,29,1.32,16624.685138539044
Kalyan,KDMC,Standard,2,734,19,1,22,0.55,7493.188010899183
Kharghar,NMMC,Standard,1,483,4,1,11,0.59,12215.320910973085
Bandra West,BMC,Standard,1,366,16,1,1,2.81,76775.956284153
Worli,BMC,Standard,1,357,30,1,3,2.8,78431.37254901961
Malabar Hill,BMC,Standard,2,866,24,1,17,7.79,89953.81062355658
Vashi,NMMC,Luxury,3,2019,56,3,27,4.33,21446.26052501238
Mira Road,MBMC,Luxury,3,2445,59,3,1,4.46,18241.30879345603
Kharghar,NMMC,Standard,1,450,27,1,24,0.55,12222.222222222223
Bandra West,BMC,Luxury,3,1827,28,3,21,14.71,80514.50465243569
Thane West,TMC,Luxury,4,2912,44,3,28,4.84,16620.879120879123
Kharghar,NMMC,Standard,1,466,30,1,2,0.8,17167.38197424893
Bandra West,BMC,Luxury,5,4725,36,3,17,43.11,91238.09523809524
Andheri West,BMC,Standard,2,862,4,1,0,2.76,32018.561484918788
Worli,BMC,Luxury,4,3856,42,3,9,38.29,99299.79253112033
Kalyan,KDMC,Standard,1,494,22,1,1,0.51,10323.886639676113
Thane West,TMC,Standard,3,1464,21,1,2,2.98,20355.1912568306
Mira Road,MBMC,Luxury,3,2361,26,2,25,2.4,10165.184243964422
Thane West,TMC,Standard,2,744,20,1,14,1.28,17204.301075268817
Worli,BMC,Standard,2,780,19,1,15,4.74,60769.230769230766
Kharghar,NMMC,Standard,2,834,15,1,2,1.25,14988.00959232614
Borivali West,BMC,Standard,1,376,36,1,1,1.07,28457.44680851064
Thane West,TMC,Standard,3,1149,23,1,20,1.85,16100.957354221062
Thane West,TMC,Standard,3,1332,6,1,4,2.31,17342.34234234234
Kalyan,KDMC,Luxury,5,3510,40,3,28,2.83,8062.678062678063
Andheri West,BMC,Standard,1,396,4,1,27,0.86,21717.171717171717
Vashi,NMMC,Standard,2,980,23,1,25,1.7,17346.938775510203
Worli,BMC,Luxury,3,1872,46,3,18,16.81,89797.00854700855
Kalyan,KDMC,Standard,3,1401,36,1,6,1.53,10920.770877944326
Thane West,TMC,Standard,2,730,31,1,9,1.48,20273.972602739726
Mira Road,MBMC,Standard,1,358,17,1,10,0.42,11731.843575418994
Mira Road,MBMC,Standard,1,397,25,1,26,0.39,9823.67758186398
Borivali West,BMC,Standard,2,800,36,1,16,1.86,23250.0
Kalyan,KDMC,Standard,1,364,32,1,6,0.39,10714.285714285714
Vashi,NMMC,Luxury,5,4885,36,2,1,13.28,27185.261003070624
Kalyan,KDMC,Standard,1,355,20,1,19,0.28,7887.323943661973
Borivali West,BMC,Luxury,5,3240,20,3,16,8.28,25555.555555555555
Bandra West,BMC,Standard,2,890,4,1,17,4.96,55730.33707865168
Malabar Hill,BMC,Standard,3,1281,33,1,13,13.15,102654.17642466823
Worli,BMC,Standard,1,408,29,1,18,2.58,63235.294117647056
Vashi,NMMC,Standard,3,1296,1,1,4,2.59,19984.567901234568
Vashi,NMMC,Standard,3,1488,12,1,15,2.74,18413.978494623658
Mira Road,MBMC,Luxury,5,3750,41,3,18,4.8,12800.0
Kalyan,KDMC,Standard,1,468,3,1,17,0.34,7264.957264957266
Kharghar,NMMC,Luxury,4,3708,52,3,16,6.17,16639.697950377562
Borivali West,BMC,Standard,1,494,6,1,0,1.1,22267.206477732794
Borivali West,BMC,Standard,2,934,33,1,29,1.71,18308.351177730194
Worli,BMC,Standard,2,944,2,1,29,4.0,42372.8813559322
Kharghar,NMMC,Luxury,3,2049,26,3,14,2.89,14104.441190824793
Kharghar,NMMC,Standard,2,806,29,1,23,1.01,12531.017369727047
Andheri West,BMC,Standard,1,454,8,1,25,1.05,23127.753303964757
Mira Road,MBMC,Standard,3,1254,28,1,29,1.21,9649.122807017544
Kalyan,KDMC,Standard,2,840,3,1,9,0.67,7976.190476190476
Worli,BMC,Standard,1,473,24,1,9,3.26,68921.77589852008
Vashi,NMMC,Luxury,5,4470,48,2,14,11.17,24988.81431767338
Vashi,NMMC,Standard,2,994,19,1,19,1.84,18511.066398390343
Bandra West,BMC,Standard,1,383,22,1,2,3.06,79895.56135770235
Vashi,NMMC,Standard,2,890,6,1,8,1.71,19213.483146067414
Andheri West,BMC,Standard,1,414,19,1,25,1.06,25603.864734299517
Kalyan,KDMC,Standard,3,1497,21,1,26,1.08,7214.428857715431
Thane West,TMC,Standard,2,748,28,1,0,1.66,22192.513368983957
Malabar Hill,BMC,Standard,3,1458,36,1,18,14.23,97599.451303155
Malabar Hill,BMC,Standard,2,790,32,1,5,8.96,113417.72151898737
Vashi,NMMC,Standard,1,403,35,1,19,0.85,21091.81141439206
Borivali West,BMC,Luxury,5,4350,48,3,26,11.77,27057.471264367818
Kalyan,KDMC,Standard,3,1323,17,1,10,1.17,8843.537414965986
Kalyan,KDMC,Standard,2,776,23,1,14,0.69,8891.752577319587
Andheri West,BMC,Standard,1,459,5,1,10,1.29,28104.57516339869
Worli,BMC,Standard,2,822,33,1,10,6.02,73236.0097323601
Worli,BMC,Standard,1,431,38,1,18,2.92,67749.41995359628
Andheri West,BMC,Luxury,3,2319,29,2,5,10.81,46614.920224234585
Malabar Hill,BMC,Standard,3,1071,17,1,8,10.3,96171.80205415499
Vashi,NMMC,Standard,1,377,33,1,21,0.76,20159.151193633952
Borivali West,BMC,Standard,2,868,2,1,28,1.27,14631.336405529953
Mira Road,MBMC,Standard,2,926,37,1,14,1.22,13174.946004319654
Worli,BMC,Luxury,4,2952,32,3,3,29.36,99457.9945799458
Vashi,NMMC,Standard,1,403,24,1,3,0.97,24069.478908188587
Malabar Hill,BMC,Standard,2,940,1,1,5,8.39,89255.31914893616
Vashi,NMMC,Standard,2,882,21,1,17,1.71,19387.755102040817
Kharghar,NMMC,Standard,3,1296,35,1,3,2.27,17515.432098765432
Borivali West,BMC,Standard,3,1128,23,1,24,2.08,18439.71631205674
Borivali West,BMC,Standard,1,437,25,1,12,0.99,22654.462242562928
Kharghar,NMMC,Standard,3,1446,36,1,13,2.24,15491.009681881054
Mira Road,MBMC,Standard,1,429,33,1,16,0.53,12354.312354312355
Borivali West,BMC,Luxury,4,2832,58,2,21,8.91,31461.86440677966
Kalyan,KDMC,Luxury,4,2744,31,2,22,2.29,8345.481049562683
Bandra West,BMC,Standard,1,378,37,1,22,2.57,67989.41798941798
Andheri West,BMC,Standard,1,494,21,1,1,1.81,36639.67611336032
Borivali West,BMC,Standard,2,998,33,1,29,1.83,18336.673346693387
Malabar Hill,BMC,Standard,2,942,10,1,14,7.82,83014.86199575372
Bandra West,BMC,Standard,2,754,11,1,13,4.72,62599.46949602122
Kharghar,NMMC,Standard,1,496,15,1,29,0.5,10080.645161290322
Thane West,TMC,Standard,2,764,33,1,18,1.38,18062.827225130888
Bandra West,BMC,Standard,2,894,13,1,21,5.06,56599.552572706925
Malabar Hill,BMC,Standard,2,794,29,1,6,8.68,109319.8992443325
Thane West,TMC,Standard,1,418,26,1,16,0.74,17703.34928229665
Bandra West,BMC,Standard,2,804,1,1,16,4.55,56592.03980099502
Malabar Hill,BMC,Luxury,5,4260,34,2,28,43.33,101713.61502347418
Borivali West,BMC,Standard,2,986,25,1,21,1.95,19776.876267748477
Kalyan,KDMC,Standard,3,1305,16,1,8,1.18,9042.145593869733
Bandra West,BMC,Standard,1,432,19,1,1,3.41,78935.18518518518
Kalyan,KDMC,Luxury,5,3690,49,2,24,3.4,9214.09214092141
Thane West,TMC,Standard,1,485,22,1,5,0.96,19793.81443298969
Kalyan,KDMC,Standard,3,1395,18,1,1,1.4,10035.84229390681
Vashi,NMMC,Standard,3,1416,29,1,2,3.6,25423.728813559323
Bandra West,BMC,Standard,2,778,4,1,26,3.75,48200.51413881748
Andheri West,BMC,Standard,1,445,27,1,29,1.13,25393.258426966288
Worli,BMC,Standard,2,882,31,1,27,4.88,55328.79818594104
Worli,BMC,Standard,2,970,9,1,25,4.59,47319.58762886598
Mira Road,MBMC,Standard,2,776,32,1,25,0.83,10695.876288659794
Andheri West,BMC,Standard,2,786,29,1,26,2.15,27353.689567430025
Kharghar,NMMC,Standard,1,483,29,1,25,0.59,12215.320910973085
Malabar Hill,BMC,Standard,2,740,26,1,3,8.2,110810.81081081081
Mira Road,MBMC,Standard,2,850,13,1,10,0.97,11411.764705882353
Vashi,NMMC,Standard,2,812,2,1,29,1.11,13669.950738916259
Mira Road,MBMC,Standard,1,430,26,1,1,0.62,14418.60465116279
Worli,BMC,Standard,3,1485,32,1,16,9.91,66734.00673400673
Vashi,NMMC,Standard,2,820,1,1,29,1.12,13658.536585365857
Borivali West,BMC,Standard,1,449,7,1,21,0.75,16703.786191536747
Mira Road,MBMC,Standard,3,1443,32,1,22,1.62,11226.611226611229
Kharghar,NMMC,Standard,1,450,20,1,11,0.63,14000.0
Malabar Hill,BMC,Standard,1,412,22,1,5,4.3,104368.93203883494
Borivali West,BMC,Luxury,5,3020,25,3,24,7.1,23509.933774834437
Thane West,TMC,Standard,2,906,13,1,5,1.66,18322.295805739515
Worli,BMC,Luxury,5,3905,57,2,15,39.55,101280.40973111396
Andheri West,BMC,Luxury,3,2658,51,2,28,10.31,38788.56282919488
Mira Road,MBMC,Standard,2,888,15,1,15,0.96,10810.81081081081
Malabar Hill,BMC,Luxury,5,3930,30,2,29,38.04,96793.893129771
Borivali West,BMC,Standard,1,463,32,1,3,1.25,26997.84017278618
Kharghar,NMMC,Luxury,5,4770,35,2,4,8.26,17316.561844863732
Borivali West,BMC,Standard,1,417,29,1,18,0.89,21342.92565947242
Worli,BMC,Standard,1,369,19,1,22,2.01,54471.54471544715
Thane West,TMC,Standard,1,377,5,1,26,0.47,12466.84350132626
Borivali West,BMC,Luxury,4,3948,39,3,5,13.68,34650.45592705167
Kalyan,KDMC,Standard,3,1485,27,1,22,1.2,8080.80808080808
Vashi,NMMC,Standard,3,1110,5,1,22,1.72,15495.495495495496
Kalyan,KDMC,Standard,3,1497,19,1,0,1.54,10287.241148964597
Kharghar,NMMC,Standard,1,499,22,1,17,0.65,13026.052104208416
Malabar Hill,BMC,Luxury,4,2844,34,2,11,37.82,132981.7158931083
Thane West,TMC,Luxury,4,3060,47,2,23,5.66,18496.732026143793
Mira Road,MBMC,Standard,1,386,38,1,1,0.61,15803.108808290155
Andheri West,BMC,Standard,2,914,22,1,19,2.64,28884.02625820569
Thane West,TMC,Standard,1,477,20,1,19,0.76,15932.914046121594
Kharghar,NMMC,Luxury,4,3336,35,2,12,5.2,15587.529976019185
Thane West,TMC,Standard,2,874,9,1,2,1.6,18306.636155606408
Bandra West,BMC,Standard,3,1404,8,1,14,8.42,59971.50997150997
Borivali West,BMC,Standard,1,402,12,1,16,0.76,18905.47263681592
Malabar Hill,BMC,Luxury,4,2440,26,3,11,30.43,124713.11475409837
Mira Road,MBMC,Standard,2,902,24,1,9,1.15,12749.445676274945
Andheri West,BMC,Standard,2,772,8,1,7,2.33,30181.34715025907
Thane West,TMC,Standard,1,485,29,1,29,0.71,14639.175257731958
Thane West,TMC,Standard,1,398,36,1,28,0.62,15577.88944723618
Andheri West,BMC,Standard,3,1293,38,1,23,3.98,30781.129156999228
Thane West,TMC,Standard,2,936,11,1,27,1.21,12927.350427350428
Borivali West,BMC,Standard,2,954,24,1,2,2.44,25576.51991614256
Kharghar,NMMC,Standard,2,812,34,1,8,1.33,16379.310344827587
Vashi,NMMC,Standard,2,928,12,1,7,1.91,20581.896551724138
Malabar Hill,BMC,Luxury,5,4590,58,2,12,71.39,155533.76906318084
Malabar Hill,BMC,Standard,3,1293,13,1,15,10.88,84145.39829853056
Kalyan,KDMC,Standard,2,840,35,1,15,0.81,9642.857142857143
Worli,BMC,Standard,2,876,32,1,29,4.71,53767.12328767123
Thane West,TMC,Standard,3,1449,19,1,12,2.55,17598.343685300206
Kalyan,KDMC,Standard,3,1209,4,1,27,0.74,6120.760959470637
Kharghar,NMMC,Luxury,3,2277,57,2,5,4.55,19982.433025911287
Thane West,TMC,Standard,1,480,34,1,15,0.91,18958.333333333332
Vashi,NMMC,Standard,2,842,6,1,13,1.51,17933.491686460806
Bandra West,BMC,Luxury,5,3375,50,2,28,28.43,84237.03703703704
Borivali West,BMC,Standard,2,760,21,1,25,1.36,17894.736842105267
Andheri West,BMC,Standard,1,362,20,1,19,1.03,28453.03867403315
Malabar Hill,BMC,Standard,2,984,13,1,16,8.16,82926.82926829268
Thane West,TMC,Standard,3,1374,23,1,13,2.46,17903.930131004367
Thane West,TMC,Standard,1,362,39,1,4,0.83,22928.17679558011
Malabar Hill,BMC,Standard,2,936,2,1,21,6.65,71047.00854700855
Worli,BMC,Standard,2,724,32,1,17,4.76,65745.85635359117
Worli,BMC,Standard,1,498,17,1,7,3.32,66666.66666666667
Bandra West,BMC,Standard,3,1371,31,1,20,9.19,67031.36396790664
Kharghar,NMMC,Standard,1,406,9,1,21,0.44,10837.43842364532
Malabar Hill,BMC,Standard,2,716,32,1,14,7.19,100418.99441340783
Malabar Hill,BMC,Standard,3,1455,8,1,26,9.8,67353.95189003437
Malabar Hill,BMC,Standard,1,464,11,1,6,4.34,93534.4827586207
Malabar Hill,BMC,Standard,2,868,23,1,23,7.04,81105.99078341013
Vashi,NMMC,Standard,1,403,8,1,8,0.79,19602.977667493797
Malabar Hill,BMC,Standard,1,398,21,1,18,3.44,86432.1608040201
Worli,BMC,Standard,3,1098,6,1,18,5.65,51457.19489981785
Thane West,TMC,Standard,3,1404,37,1,18,2.62,18660.96866096866
Andheri West,BMC,Standard,1,392,36,1,25,1.15,29336.73469387755
Andheri West,BMC,Standard,2,864,35,1,13,3.03,35069.44444444444
Thane West,TMC,Standard,3,1191,33,1,11,2.38,19983.20738874895
Thane West,TMC,Luxury,4,3948,46,3,8,9.06,22948.328267477205
Thane West,TMC,Standard,1,491,25,1,1,1.05,21384.928716904276
Bandra West,BMC,Standard,2,844,26,1,19,5.52,65402.84360189573
Thane West,TMC,Standard,3,1062,3,1,25,1.34,12617.702448210923
Malabar Hill,BMC,Standard,1,393,26,1,14,3.76,95674.30025445293
Worli,BMC,Luxury,4,3756,42,3,3,40.3,107294.99467518638
Kharghar,NMMC,Standard,1,438,2,1,29,0.4,9132.4200913242
Bandra West,BMC,Standard,2,930,22,1,20,5.79,62258.06451612903
Malabar Hill,BMC,Standard,2,918,15,1,13,8.1,88235.29411764706
Kalyan,KDMC,Standard,1,482,6,1,16,0.35,7261.410788381742
Kharghar,NMMC,Standard,3,1359,23,1,2,2.19,16114.790286975718
